#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2698644,89113,RES,A-ER,8057 Adelaide Hills ST,"$538,000 ",2STORY,SFR,"2,203",5,3,2,N,N,2022,,195
1,2742425,89061,RES,A-ER,4720 Santa Luc ST,"$536,200 ",1STORY,SFR,"2,658",5,5,2,N,N,2006,,27
1,2748605,89084,RES,A-ER,4035 Floating Fern AVE,"$535,000 ",2STORY,SFR,"2,643",5,3,2,N,N,2021,,6
1,2742483,89031,RES,A-ER,3412 Sunrise Rose AVE,"$535,000 ",2STORY,SFR,"2,899",5,4,2,N,N,2006,,34
1,2732593,89011,RES,A-ER,1189 Spring Sage ST,"$535,000 ",2STORY,SFR,"3,241",5,6,2,N,N,2007,,79
1,2708362,89011,RES,A-ER,759 Crimson Peak PL,"$535,000 ",2STORY,SFR,"2,502",5,4,2,N,N,2008,,167
1,2722258,89141,RES,A-ER,10443 Restless River ST,"$534,000 ",2STORY,SFR,"2,206",5,3,2,N,N,2023,,117
1,2746167,89121,RES,A-ER,3020 Garnet CT,"$530,000 ",2STORY,SFR,"2,426",5,3,0,Y,N,1968,,14
1,2740449,89148,RES,A-ER,5548 Anshan ST,"$529,999 ",2STORY,SFR,"2,467",5,3,2,N,N,2019,,44
1,2706356,89144,RES,A-ER,1300 Swanbrooke DR,"$529,995 ",2STORY,SFR,"2,100",5,3,2,N,N,2000,,175
1,2748934,89011,RES,A-ER,569 Speckled Robin AVE #715,"$529,980 ",2STORY,SFR,"2,660",5,3,2,N,N,2025,,3
1,2745343,89130,RES,A-ER,6106 Castle Gardens AVE,"$529,000 ",2STORY,SFR,"2,718",5,4,2,N,N,2021,,16
1,2748295,89123,RES,A-ER,8938 Termoli ST,"$525,000 ",2STORY,SFR,"2,288",5,3,3,N,N,2000,,3
1,2748051,89148,RES,A-ER,6689 Roanoke CT,"$525,000 ",2STORY,SFR,"2,415",5,5,2,N,N,2005,,7
